,ind,max_valorX,max_valorY,max_valorZ,media,formula,Ehull,HF,Gap,Energy,natoms,nspecies,thickness,uc_area,average_atomic_number,average_valence_number,average_electronegativity
0,1,0.4975000000000591,0.6775000000000091,1.0824999999999818,0.7525000000000167,Y2Se6,0.0,-1.217,0.0,-40.015,8,2,8.664,15.368,35.25,12.75,2.2175
1,2,0.9250000000000682,0.9674999999999727,1.4724999999999682,1.1216666666666697,Y2Te6,0.0,-0.937,0.0,-36.111,8,2,9.144,18.761,48.75,12.75,1.8800000000000001
2,3,1.150000000000091,1.150000000000091,1.150000000000091,1.150000000000091,Zr2Br6,0.104,-1.333,0.0,-34.979,8,2,3.435,37.415,36.25,13.75,2.5524999999999998
3,4,1.205000000000041,1.205000000000041,1.205000000000041,1.205000000000041,Zr2Cl6,0.083,-1.709,0.0,-39.186,8,2,3.215,33.976,22.75,6.25,2.7025
4,5,0.6072499999999934,0.5617499999999893,0.48774999999997704,0.5522499999999866,As2,0.005,0.005,1.483,-9.316,2,1,1.396,11.271,33.0,15.0,2.18
5,6,0.5950000000000273,0.6924999999999955,0.6899999999999409,0.6591666666666546,Zr2I6,0.126,-0.864,0.0,-30.59,8,2,3.711,43.65,49.75,13.75,2.3275
6,7,0.47500000000002274,0.16999999999995907,0.37000000000000455,0.33833333333332877,Zr2O6,0.155,-2.482,3.586,-65.407,8,2,4.713,13.329,16.0,5.5,2.9125
7,8,0.7074999999999818,0.2625000000000455,0.5824999999999818,0.5175000000000031,Zr2S6,0.0,-1.254,1.182,-49.304,8,2,5.906,18.927,22.0,5.5,2.2675
8,9,0.677250000000015,0.693000000000012,0.6855000000000189,0.6852500000000153,C2,0.0,-0.007,0.0,-18.454,2,1,0.0,5.272,6.0,4.0,2.55
9,10,1.00750000000005,0.4175000000000182,0.8274999999999864,0.7508333333333516,Zr2Se6,0.0,-1.078,0.41,-44.329,8,2,6.223,20.681,35.5,13.0,2.245
10,11,0.3222499999999968,1.2822500000000048,1.000249999999994,0.8682499999999985,P2,0.04,0.04,1.929,-10.649,2,1,1.243,9.345,15.0,5.0,2.19
11,13,0.5237500000000068,0.4162499999999909,0.38749999999998863,0.44249999999999545,Sb2,0.074,0.074,0.983,-8.663,2,1,1.635,14.646,51.0,15.0,2.05
12,14,0.4249999999999545,0.39249999999992724,0.4874999999999545,0.43499999999994543,K4O12,0.0,-0.689,0.898,-77.399,16,2,4.306,49.291,10.75,4.75,2.785
13,15,0.8450000000000273,0.8249999999999886,0.37999999999999545,0.6833333333333371,As4,0.042,0.042,0.835,-18.485,4,1,2.399,17.592,33.0,15.0,2.18
14,16,1.4849999999999,1.4849999999999,1.4849999999999,1.4849999999999,Mn4Cl12,0.026,-0.88,0.497,-74.365,16,2,6.397,43.993,19.0,7.0,2.7575000000000003
15,17,0.4674999999999727,0.4674999999999727,0.4674999999999727,0.4674999999999727,Bi4,0.096,0.096,0.151,-18.315,4,1,3.481,22.238,83.0,15.0,2.02
16,18,0.9925000000000637,0.9925000000000637,0.9925000000000637,0.9925000000000637,Nb4S12,0.0,-0.823,0.0,-103.407,16,2,6.621,38.872,22.25,5.75,2.335
17,19,1.9499999999999886,1.455000000000041,2.4250000000000114,1.943333333333347,P4,0.039,0.039,0.903,-21.301,4,1,2.11,15.312,15.0,5.0,2.19
18,20,2.650000000000091,2.287499999999909,2.287499999999909,2.408333333333303,Nb4S12,0.002,-0.82,0.376,-103.369,16,2,6.232,34.014,22.25,5.75,2.335
19,21,1.5125000000000455,1.5125000000000455,1.5125000000000455,1.5125000000000455,Nb4Se12,0.0,-0.703,0.0,-94.35,16,2,7.025,42.956,35.75,13.25,2.3125
20,22,1.3475000000000819,1.3475000000000819,1.3475000000000819,1.3475000000000819,Ta4S12,0.0,-0.844,0.16,-101.702,16,2,6.603,39.0,30.25,5.75,2.31
21,23,2.9049999999999727,2.535000000000082,2.535000000000082,2.658333333333379,Ta4S12,0.073,-0.771,0.207,-100.532,16,2,6.237,33.829,30.25,5.75,2.31
22,24,61.9,61.9,61.9,61.9,Ta4Se12,0.0,-0.68,0.005,-91.935,16,2,6.994,43.166,43.75,13.25,2.2874999999999996
23,25,6.035000000000082,6.035000000000082,6.035000000000082,6.035000000000082,AgI2CuSeS,0.092,-0.089,0.0,-17.567,6,5,6.643,17.69,38.666666666666664,13.0,2.38
24,26,0.3450000000000273,0.3500000000001364,0.3450000000000273,0.34666666666673035,Ta2Mo2O11,0.001,-2.471,2.566,-135.465,15,3,9.164,28.209,21.2,5.866666666666666,3.0106666666666664
25,27,0.352500000000191,0.35750000000007276,0.352500000000191,0.35416666666681823,W2Nb2O11,0.027,-2.461,2.345,-136.911,15,3,9.194,28.257,21.2,5.866666666666666,3.0506666666666664
26,28,0.3550000000000182,0.3625000000001819,0.35750000000007276,0.35833333333342426,Ta2W2O11,0.0,-2.539,2.748,-137.061,15,3,9.205,28.411,25.466666666666665,5.866666666666666,3.037333333333333
27,29,61.9,61.9,61.9,61.9,Hf3Te5GeBr3,0.052,-0.805,0.0,-57.468,12,4,3.575,56.238,51.083333333333336,13.083333333333334,2.1075
28,30,1.240000000000009,1.240000000000009,1.240000000000009,1.240000000000009,RhCrBrS2Cl,0.084,-0.695,0.177,-32.253,6,5,5.551,16.684,25.5,8.5,2.5366666666666666
29,31,1.0675000000001091,1.0599999999999454,1.0599999999999454,1.0625,PdNi3Se5S3,0.046,-0.244,0.274,-58.14,12,4,2.653,42.906,29.0,11.5,2.3683333333333336
30,32,61.9,61.9,61.9,61.9,HfZrBrClN2,0.009,-1.783,1.93,-45.682,6,5,5.788,14.745,29.666666666666668,7.0,2.4716666666666667
31,33,1.3700000000000045,1.3474999999999682,1.3474999999999682,1.3549999999999802,Rh4Te3Se,0.051,-0.323,0.0,-44.274,8,3,4.999,25.009,46.25,12.5,2.24625
32,34,2.30499999999995,2.30499999999995,2.30499999999995,2.30499999999995,ICoNiBrS2,0.068,-0.326,0.0,-28.649,6,5,5.588,15.768,29.166666666666668,10.833333333333334,2.4283333333333332
33,35,0.5925000000002001,0.5199999999999818,0.650000000000091,0.587500000000091,TeNi4Se3,0.089,-0.18,0.0,-44.082,8,3,2.897,30.478,33.25,13.0,2.17375
34,36,2.5850000000000364,2.5850000000000364,2.5850000000000364,2.5850000000000364,Te2CoNiSeBr,0.049,-0.259,0.013,-28.506,6,5,2.88,23.373,38.0,14.0,2.25
35,37,1.4774999999999636,1.4699999999998,1.4699999999998,1.4724999999998545,Re6Br2S8,0.014,-0.581,1.429,-115.039,16,3,8.225,41.601,40.5,7.75,2.3725
36,38,1.2649999999998727,1.2649999999998727,1.2649999999998727,1.2649999999998727,Re6Se8Br2,0.014,-0.452,1.129,-108.211,16,3,8.294,44.721,49.5,12.75,2.3575
37,39,1.4674999999999727,1.4674999999999727,1.4674999999999727,1.4674999999999727,Re6Te8Br2,0.0,-0.21,0.435,-102.114,16,3,8.372,49.96,58.5,12.75,2.1325
38,40,0.032500000000027285,0.032500000000027285,0.032500000000027285,0.032500000000027285,Ca2O6H8,0.041,-1.58,4.51,-86.644,16,3,6.246,22.459,6.0,3.0,2.515
39,41,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909,Ca2S6H8,0.034,-0.646,3.591,-65.429,16,3,7.343,34.068,9.0,3.0,2.1925
40,42,1.884999999999991,1.8824999999999363,1.8824999999999363,1.8833333333332878,Re6S8Cl2,0.01,-0.628,1.541,-116.194,16,3,7.92,41.645,38.25,6.5,2.3975
41,43,1.5825000000002092,1.5825000000002092,1.5825000000002092,1.5825000000002092,Re6Se8Cl2,0.002,-0.497,1.194,-109.338,16,3,7.984,44.778,47.25,11.5,2.3825
42,44,1.9549999999999272,1.9549999999999272,1.9549999999999272,1.9549999999999272,Re6Te8Cl2,0.0,-0.255,0.461,-103.231,16,3,8.064,50.044,56.25,11.5,2.1574999999999998
43,45,1.5225000000000364,1.5225000000000364,1.5225000000000364,1.5225000000000364,Re6S8F2,0.0,-0.857,1.621,-119.459,16,3,7.127,41.614,37.25,6.5,2.5
44,46,1.490000000000009,1.490000000000009,1.490000000000009,1.490000000000009,Re6Se8F2,0.0,-0.727,1.266,-112.619,16,3,7.172,44.758,46.25,11.5,2.485
45,47,1.8550000000000182,1.8550000000000182,1.8550000000000182,1.8550000000000182,Re6Te8F2,0.0,-0.481,0.498,-106.449,16,3,7.218,50.111,55.25,11.5,2.26
46,48,1.259999999999991,1.2550000000001091,1.2550000000001091,1.2566666666667363,Re6I2S8,0.0,-0.525,1.034,-113.921,16,3,8.63,41.541,42.75,7.75,2.335
47,49,1.0824999999999818,1.1100000000001273,1.1600000000000819,1.1175000000000637,Re6I2Se8,0.0,-0.396,0.904,-107.108,16,3,8.696,44.664,51.75,12.75,2.32
48,50,1.0850000000000364,1.0850000000000364,1.0850000000000364,1.0850000000000364,Re6Te8I2,0.0,-0.157,0.375,-101.06,16,3,8.772,49.864,60.75,12.75,2.0949999999999998
49,51,0.027499999999918145,0.027499999999918145,0.027499999999918145,0.027499999999918145,Sr2O6H8,0.016,-1.571,4.396,-85.823,16,3,6.563,25.068,8.25,3.0,2.50875
50,52,0.24500000000000455,0.25,0.24500000000000455,0.2466666666666697,Sr2S6H8,0.004,-0.673,3.721,-65.188,16,3,7.616,37.144,11.25,3.0,2.1862500000000002
51,53,7.6099999999999,7.6099999999999,7.6099999999999,7.6099999999999,AgGa3Cl4O4,0.099,-1.135,0.251,-52.809,12,4,5.289,27.072,20.0,8.5,2.813333333333333
52,54,0.017500000000040927,0.017500000000040927,0.017500000000040927,0.017500000000040927,Ti3C2O2H2,0.123,-1.295,0.0,-67.059,9,4,9.22,8.251,10.666666666666666,3.7777777777777777,2.3333333333333335
53,55,1.0675000000001091,1.0675000000001091,1.0675000000001091,1.0675000000001091,Nb4BrCl3O4,0.027,-1.901,0.0,-91.552,12,4,5.506,26.437,23.5,6.833333333333333,2.716666666666667
54,56,3.0224999999999227,3.0224999999999227,3.0324999999999136,3.025833333333253,Sn3CaBr4S4,0.097,-0.827,0.712,-46.756,12,4,6.049,43.92,31.166666666666668,11.333333333333334,2.42
55,57,61.9,61.9,61.9,61.9,Hf4Br3ClN4,0.0,-1.742,2.076,-90.876,12,4,5.929,29.554,36.5,7.833333333333333,2.4499999999999997
56,58,1.3525000000000773,1.3525000000000773,1.3525000000000773,1.3525000000000773,Sc4Br3S4Cl,0.0,-1.935,2.136,-64.711,12,4,5.882,38.297,22.5,7.833333333333333,2.316666666666667
57,59,1.3074999999998909,1.3074999999998909,1.3074999999998909,1.3074999999998909,Pd4I3S4Cl,0.054,-0.257,0.0,-40.896,12,4,5.949,36.853,35.333333333333336,10.166666666666666,2.521666666666667
58,60,61.9,61.9,61.9,61.9,HfZr3Te4S4,0.009,-1.235,0.019,-73.661,12,4,3.24,50.311,38.666666666666664,8.666666666666666,2.0008333333333335
59,61,1.375,1.375,1.375,1.375,PtZrIBrS2,0.098,-0.916,0.0,-30.472,6,5,6.826,16.391,39.666666666666664,10.0,2.3983333333333334
60,62,61.9,61.9,61.9,61.9,Hf4IBr3N4,0.0,-1.644,2.042,-89.396,12,4,6.141,29.957,39.5,8.666666666666666,2.408333333333333
61,63,61.9,61.9,61.9,61.9,Hf2ISeBrS,0.014,-1.293,0.0,-33.393,6,5,5.811,19.389,47.0,10.666666666666666,2.225
62,64,1.0550000000000637,1.0550000000000637,1.0550000000000637,1.0550000000000637,Zr4IBr3S4,0.0,-1.543,0.0,-70.678,12,4,5.861,38.194,31.833333333333332,9.0,2.265
63,65,0.23749999999995453,0.23500000000012733,0.4600000000000364,0.31083333333337276,Au3InBr4O4,0.035,-0.392,0.475,-43.69,12,4,6.06,34.488,38.166666666666664,11.5,2.9166666666666665
64,66,1.3824999999999363,1.412499999999909,1.5474999999999,1.4474999999999152,Ti4Br4N3O,0.0,-1.63,0.0,-82.837,12,4,5.442,27.096,21.416666666666668,8.75,2.546666666666667
65,67,1.4649999999999181,1.4649999999999181,1.4649999999999181,1.4649999999999181,Ir3PdBr4S4,0.033,-0.374,0.0,-58.785,12,4,5.716,34.179,40.083333333333336,10.75,2.58
66,68,2.067500000000109,2.067500000000109,2.067500000000109,2.067500000000109,PtPd3Cl4O4,0.091,-0.408,0.559,-50.345,12,4,4.792,31.01,26.333333333333332,7.666666666666667,2.94
67,69,1.0299999999999727,0.9700000000000273,0.9700000000000273,0.9900000000000091,Pt4I4SeS3,0.05,-0.259,0.641,-50.159,12,4,5.57,41.707,50.5,11.833333333333334,2.5041666666666664
68,70,6.482499999999959,6.482499999999959,6.482499999999959,6.482499999999959,CdGeSeBr2S,0.086,-0.518,0.617,-19.282,6,5,3.658,28.25,33.333333333333336,13.666666666666666,2.4583333333333335
69,71,2.8400000000001455,2.8400000000001455,2.8400000000001455,2.8400000000001455,TaNb3S4Cl4,0.047,-1.223,0.0,-78.929,12,4,5.218,33.803,27.333333333333332,6.0,2.4383333333333335
70,72,1.482499999999959,1.482499999999959,1.482499999999959,1.482499999999959,TaICrClN2,0.068,-0.829,0.037,-44.17,6,5,5.495,13.898,30.166666666666668,7.5,2.5100000000000002
71,73,61.9,61.9,61.9,61.9,Hf3ZrCl4N4,0.004,-1.863,2.02,-92.829,12,4,5.624,29.168,29.333333333333332,5.333333333333333,2.5025
72,74,5.590000000000032,5.590000000000032,5.590000000000032,5.590000000000032,IFeZnClO2,0.088,-0.927,0.0,-29.298,6,5,5.721,12.803,23.666666666666668,9.333333333333334,2.6966666666666668
73,75,0.020000000000209184,0.020000000000209184,0.020000000000209184,0.020000000000209184,Ni3ZnO8H4,0.07,-0.869,0.182,-91.125,16,4,3.928,31.346,11.375,5.875,2.73125
74,76,4.647500000000036,4.647500000000036,4.647500000000036,4.647500000000036,Te2MnGeSCl,0.091,-0.347,0.26,-28.589,6,5,4.768,23.341,32.333333333333336,11.0,2.25
75,77,0.22499999999990905,0.22499999999990905,0.22499999999990905,0.22499999999990905,S10Li6H2,0.093,-0.627,2.254,-70.049,18,3,7.359,52.776,10.0,3.7777777777777777,2.0044444444444443
76,78,0.21249999999997726,0.21249999999997726,0.21249999999997726,0.21249999999997726,Na6S10H2,0.08,-0.56,2.353,-65.354,18,3,8.625,62.229,12.666666666666666,3.7777777777777777,1.9877777777777779
77,79,0.9725000000000819,0.6650000000000773,0.6650000000000773,0.7675000000000788,TaNbIClN2,0.057,-1.011,0.0,-46.176,6,5,5.352,14.786,33.0,7.333333333333333,2.5
78,80,4.302500000000009,4.302500000000009,4.302500000000009,4.302500000000009,IGa2SeSCl,0.025,-0.713,0.891,-20.908,6,5,5.782,23.995,30.333333333333332,12.0,2.4283333333333332
79,81,0.6150000000000091,0.7574999999999363,0.6749999999999545,0.6824999999999667,NbNi3Se6,0.076,-0.397,0.0,-56.936,10,3,3.289,36.634,32.9,13.1,2.263
80,82,0.37750000000005457,0.3125,0.2875000000001364,0.325833333333397,Nb6Ge2Se12,0.0,-0.824,0.0,-129.26,20,3,3.411,69.212,35.9,12.5,2.211
81,83,5.335000000000036,5.335000000000036,5.335000000000036,5.335000000000036,Nb6Te12Ge2,0.008,-0.487,0.0,-119.196,20,3,3.769,75.894,46.7,12.5,1.9410000000000003
82,84,0.16499999999996362,0.15499999999997272,0.15499999999997272,0.15833333333330302,Ta6Ge2S12,0.071,-0.908,0.0,-135.023,20,3,3.198,65.149,34.7,6.5,2.1990000000000003
83,85,0.3125,0.34999999999990905,0.28749999999990905,0.31666666666660603,Ta6Ge2Se12,0.0,-0.761,0.0,-124.94,20,3,3.441,69.068,45.5,12.5,2.181
84,86,5.934999999999945,5.934999999999945,5.934999999999945,5.934999999999945,Ta6Te12Ge2,0.004,-0.394,0.0,-114.267,20,3,3.781,75.831,56.3,12.5,1.911
85,87,1.6375000000000455,1.6375000000000455,1.6375000000000455,1.6375000000000455,V2Se2O7F2,0.083,-1.684,0.907,-84.953,13,4,4.602,36.588,14.461538461538462,7.538461538461538,3.1076923076923078
86,88,0.8099999999999454,0.8099999999999454,0.8099999999999454,0.8099999999999454,As6O12H2,0.0,-1.18,3.828,-119.727,20,3,2.878,59.923,14.8,8.2,2.9379999999999997
87,89,4.220000000000027,4.220000000000027,4.220000000000027,4.220000000000027,P6O12H2,0.0,-1.656,4.415,-133.444,20,3,2.016,57.685,9.4,5.2,2.941
88,90,5.947499999999991,5.997500000000173,5.947499999999991,5.964166666666718,P6S12H2,0.048,-0.12,2.241,-90.167,20,3,2.613,82.387,14.2,5.2,2.425
89,91,0.8099999999999454,0.8099999999999454,0.8099999999999454,0.8099999999999454,Sb6O12H2,0.086,-1.254,2.489,-119.654,20,3,3.564,63.848,20.2,8.2,2.899
90,92,61.9,61.9,61.9,61.9,Hf3Cl2B2,0.09,-1.112,0.0,-47.283,7,3,8.781,10.38,37.142857142857146,4.571428571428571,2.042857142857143
91,93,0.14249999999992724,0.09500000000002728,0.12750000000005457,0.1216666666666697,Nb6Si2S12,0.037,-1.009,0.0,-141.872,20,3,3.191,63.577,23.3,5.5,2.218
92,94,0.3624999999999545,0.3324999999999818,0.30749999999989086,0.33416666666660905,Nb6Se12Si2,0.0,-0.86,0.0,-131.742,20,3,3.437,67.645,34.1,11.5,2.2
93,95,0.3524999999999636,0.21250000000009095,0.19249999999988177,0.2524999999999788,Nb6Te12Si2,0.008,-0.501,0.0,-121.238,20,3,3.824,74.159,44.9,11.5,1.9300000000000002
94,96,0.1574999999997999,0.10999999999989996,0.14249999999992724,0.13666666666654237,Ta6Si2S12,0.039,-0.967,0.0,-137.976,20,3,3.226,63.435,32.9,5.5,2.188
95,97,0.5724999999999909,0.5724999999999909,0.5724999999999909,0.5724999999999909,Ta3Cl2B2,0.1,-0.877,0.0,-52.565,7,3,8.345,9.735,37.57142857142857,5.0,2.1285714285714286
96,98,0.3674999999998363,0.31749999999988177,0.27749999999991815,0.32083333333321207,Ta6Se12Si2,0.0,-0.797,0.0,-127.437,20,3,3.472,67.405,43.7,11.5,2.1699999999999995
97,99,5.375,5.397499999999809,5.375,5.382499999999936,Ta6Te12Si2,0.008,-0.408,0.0,-116.321,20,3,3.832,74.03,54.5,11.5,1.9
98,100,0.6649999999999636,0.6675000000000182,0.6749999999999545,0.6691666666666455,Nb6Sn2Se12,0.05,-0.758,0.0,-127.017,20,3,3.409,72.671,37.7,12.5,2.206
99,101,0.6950000000001637,0.6974999999999909,0.712500000000091,0.7016666666667485,Nb6Sn2Te12,0.003,-0.458,0.0,-117.683,20,3,3.745,79.633,48.5,12.5,1.9360000000000004
100,102,0.775000000000091,0.775000000000091,0.775000000000091,0.775000000000091,Zr3Cl2B2,0.096,-1.149,0.0,-47.234,7,3,8.861,10.562,23.428571428571427,4.571428571428571,2.0557142857142856
101,103,0.6849999999999454,0.6174999999998363,0.7299999999997908,0.6774999999998575,Ta6Sn2Te12,0.011,-0.354,0.0,-112.557,20,3,3.755,79.474,58.1,12.5,1.9060000000000001
102,104,61.9,61.9,61.9,61.9,HfScSeBr2S,0.045,-1.589,0.0,-32.429,6,5,5.71,19.617,35.5,10.5,2.2849999999999997
103,105,3.115000000000009,3.177500000000009,3.2425000000000637,3.1783333333333608,Nb3Br7O,0.064,-1.154,0.769,-59.891,11,3,3.215,43.248,34.18181818181818,12.727272727272727,2.632727272727273
104,106,2.7024999999998727,2.7024999999998727,2.7024999999998727,2.7024999999998727,Nb3Cl7O,0.053,-1.486,0.86,-64.941,11,3,2.978,39.363,22.727272727272727,6.363636363636363,2.7600000000000002
105,107,1.6724999999999,0.8574999999998454,0.8899999999998727,1.1399999999998727,Nb3I7O,0.091,-0.742,0.239,-54.611,11,3,3.512,49.531,45.63636363636363,12.727272727272727,2.441818181818182
106,108,0.8474999999999682,0.8474999999999682,0.8474999999999682,0.8474999999999682,InI2ScSeS,0.074,-1.045,1.111,-24.212,6,5,6.371,21.587,37.666666666666664,12.0,2.265
107,109,4.177500000000009,4.207499999999982,4.372499999999945,4.252499999999979,Ta3Cl7O,0.075,-1.389,0.879,-62.348,11,3,2.978,39.223,31.454545454545453,6.363636363636363,2.732727272727273
108,110,1.0950000000000273,1.0950000000000273,1.0950000000000273,1.0950000000000273,IrI2NiSeS,0.065,-0.209,0.0,-28.297,6,5,5.921,17.592,43.5,12.5,2.4266666666666667
109,111,1.6675000000000182,1.6625000000001364,1.6625000000001364,1.6641666666667636,Nb3Br7S,0.004,-1.051,0.81,-57.708,11,3,3.437,44.597,34.90909090909091,12.727272727272727,2.5545454545454547
110,112,0.6900000000000546,0.125,0.5599999999999454,0.4583333333333333,Nb3SCl7,0.0,-1.375,0.886,-62.674,11,3,3.324,40.862,23.454545454545453,6.363636363636363,2.6818181818181817
111,113,1.3550000000000182,1.3550000000000182,1.3550000000000182,1.3550000000000182,Nb3SF7,0.009,-2.721,0.964,-76.095,11,3,3.079,32.771,18.363636363636363,6.363636363636363,3.2036363636363636
112,114,0.43250000000011823,0.2599999999999909,0.39249999999992724,0.3616666666666788,Nb3I7S,0.0,-0.651,0.513,-52.572,11,3,3.573,50.644,46.36363636363637,12.727272727272727,2.3636363636363638
113,115,0.49250000000006366,0.11750000000006366,0.42250000000012733,0.34416666666675155,Ta3Br7S,0.004,-0.967,0.847,-55.256,11,3,3.472,44.376,43.63636363636363,12.727272727272727,2.527272727272727
114,116,0.650000000000091,0.1150000000000091,0.4900000000000091,0.4183333333333697,Ta3SCl7,0.0,-1.298,0.925,-60.3,11,3,3.354,40.685,32.18181818181818,6.363636363636363,2.6545454545454548
115,117,1.3450000000000273,1.3450000000000273,1.3450000000000273,1.3450000000000273,Ta3SF7,0.095,-2.6,0.96,-73.232,11,3,3.106,32.968,27.09090909090909,6.363636363636363,3.1763636363636363
116,118,0.42000000000007276,0.24250000000006366,0.37249999999994543,0.3450000000000273,Ta3I7S,0.0,-0.557,0.684,-50.003,11,3,3.611,50.31,55.09090909090909,12.727272727272727,2.3363636363636364
117,119,0.6900000000000546,0.6875,0.6900000000000546,0.689166666666703,Nb3SeBr7,0.0,-1.017,0.76,-56.744,11,3,3.598,44.951,36.54545454545455,13.636363636363637,2.5518181818181818
118,120,0.7200000000000273,0.7250000000001364,0.7250000000001364,0.7233333333334334,Nb3SeCl7,0.0,-1.339,0.831,-61.682,11,3,3.485,41.23,25.09090909090909,7.2727272727272725,2.679090909090909
119,121,1.3174999999998818,1.3174999999998818,1.3174999999998818,1.3174999999998818,Nb3SeF7,0.004,-2.683,0.893,-75.079,11,3,3.248,33.078,20.0,7.2727272727272725,3.200909090909091
120,122,0.7424999999998363,0.7374999999999545,0.7424999999998363,0.740833333333209,Nb3I7Se,0.0,-0.621,0.536,-51.64,11,3,3.734,50.935,48.0,13.636363636363637,2.3609090909090913
121,123,0.7124999999998636,0.7149999999999181,0.7149999999999181,0.7141666666665666,Ta3SeBr7,0.0,-0.932,0.79,-54.272,11,3,3.64,44.687,45.27272727272727,13.636363636363637,2.5245454545454544
122,124,0.7474999999999454,0.7549999999998818,0.7549999999998818,0.752499999999903,Ta3SeCl7,0.0,-1.261,0.863,-59.299,11,3,3.521,41.025,33.81818181818182,7.2727272727272725,2.651818181818182
123,125,1.3049999999998363,1.3049999999998363,1.3049999999998363,1.3049999999998363,Ta3SeF7,0.077,-2.563,0.895,-72.233,11,3,3.28,33.258,28.727272727272727,7.2727272727272725,3.1736363636363634
124,126,0.7799999999999727,0.7749999999998636,0.7799999999999727,0.7783333333332697,Ta3I7Se,0.007,-0.524,0.665,-49.041,11,3,3.779,50.582,56.72727272727273,13.636363636363637,2.333636363636364
125,127,0.9524999999998727,0.9524999999998727,0.9524999999998727,0.9524999999998727,Nb3TeBr7,0.0,-0.952,0.719,-55.749,11,3,3.814,45.649,38.18181818181818,13.636363636363637,2.5109090909090908
126,128,0.8899999999998727,0.8899999999998727,0.8899999999998727,0.8899999999998727,Nb3TeCl7,0.0,-1.269,0.772,-60.644,11,3,3.703,41.943,26.727272727272727,7.2727272727272725,2.6381818181818186
127,129,1.3250000000000455,1.3250000000000455,1.3250000000000455,1.3250000000000455,Nb3TeF7,0.013,-2.615,0.812,-74.053,11,3,3.472,33.673,21.636363636363637,7.2727272727272725,3.1599999999999997
128,130,3.222500000000082,3.4225000000001273,3.380000000000109,3.341666666666773,Nb3TeI7,0.006,-0.561,0.565,-50.702,11,3,3.946,51.589,49.63636363636363,13.636363636363637,2.3200000000000003
129,131,0.9800000000000182,0.9800000000000182,0.9800000000000182,0.9800000000000182,Ta3TeBr7,0.0,-0.867,0.741,-53.281,11,3,3.862,45.341,46.90909090909091,13.636363636363637,2.483636363636364
130,132,1.0375000000001364,1.0375000000001364,1.0375000000001364,1.0375000000001364,Ta3TeCl7,0.0,-1.193,0.802,-58.274,11,3,3.746,41.701,35.45454545454545,7.2727272727272725,2.610909090909091
131,133,1.3074999999998909,1.3074999999998909,1.3074999999998909,1.3074999999998909,Ta3TeF7,0.075,-2.501,0.86,-71.27,11,3,3.505,33.85,30.363636363636363,7.2727272727272725,3.132727272727273
132,134,1.0225000000000364,1.0225000000000364,1.0225000000000364,1.0225000000000364,Ta3TeI7,0.006,-0.465,0.643,-48.117,11,3,3.999,51.174,58.36363636363637,13.636363636363637,2.2927272727272725
133,135,0.5799999999999272,0.3224999999999909,0.46499999999991815,0.45583333333327875,Sb2Al2O6,0.0,-2.204,3.909,-69.077,10,3,4.021,21.183,17.6,7.2,2.7960000000000003
134,136,1.3550000000000182,1.3550000000000182,1.3550000000000182,1.3550000000000182,Mo3CrO8,0.089,-1.907,0.626,-106.895,12,3,2.449,26.784,17.833333333333332,6.0,2.9716666666666662
135,137,0.31749999999988177,0.21250000000009095,0.2925000000000182,0.2741666666666636,Mo3CrS8,0.011,-0.848,1.184,-85.811,12,3,3.158,34.464,23.166666666666668,6.0,2.3983333333333334
136,138,0.27499999999997726,0.2675000000000409,0.27750000000003183,0.27333333333335,Ta3S2B2,0.074,-0.891,0.0,-57.252,7,3,8.247,9.573,37.285714285714285,4.714285714285714,1.9628571428571429
137,139,7.867750000000001,7.867750000000001,7.867750000000001,7.867750000000001,Mo3CrSe8,0.01,-0.642,0.951,-78.582,12,3,3.38,37.631,35.166666666666664,12.666666666666666,2.3783333333333334
138,140,10.332499999999978,10.332499999999978,10.332499999999978,10.332499999999978,Mo3Te8Cr,0.035,-0.244,0.645,-71.578,12,3,3.688,43.195,47.166666666666664,12.666666666666666,2.0783333333333336
139,141,0.37249999999994543,0.28500000000008185,0.3450000000000273,0.3341666666666849,W3CrS8,0.009,-0.814,1.126,-86.256,12,3,3.164,34.579,31.166666666666668,6.0,2.4483333333333337
140,142,0.9175000000000182,0.8775000000000546,0.912499999999909,0.902499999999994,W3CrSe8,0.01,-0.557,0.882,-78.41,12,3,3.391,37.7,43.166666666666664,12.666666666666666,2.4283333333333332
141,143,10.22749999999996,10.22749999999996,10.22749999999996,10.22749999999996,W3Te8Cr,0.056,-0.099,0.543,-70.695,12,3,3.716,43.312,55.166666666666664,12.666666666666666,2.1283333333333334
142,144,61.9,61.9,61.9,61.9,Hf2Br2S3,0.056,-1.368,1.378,-39.994,7,3,6.695,22.375,37.42857142857143,8.571428571428571,2.3228571428571425
143,145,1.3700000000000045,1.3899999999999864,1.3775000000000546,1.3791666666666818,Mn2Br2O3,0.096,-1.162,0.042,-46.109,7,3,4.642,18.93,20.571428571428573,9.428571428571429,2.762857142857143
144,146,0.1449999999999818,0.1449999999999818,0.1449999999999818,0.1449999999999818,Mn3GaS8,0.081,-0.482,0.0,-70.462,12,3,2.716,39.367,19.5,6.833333333333333,2.2583333333333333
145,147,61.9,61.9,61.9,61.9,HfTi3S8,0.169,-1.211,0.858,-74.729,12,3,3.169,40.079,22.166666666666668,5.333333333333333,2.2133333333333334
